Location,Size,Price (CZK),Link,Total price,Order ID,Update,Building,Property status,Ownership,Property location,Floor,Usable area,Floorage,Balcony,Move-in date,Water,Heating,Gas,Electricity,Transportation,Energy Performance Rating,Energy Performance Certificate,Loft,Furnished,Elevator,Flat type,Terrace,Cellar,Parking,Energy Performance Indicator,Price,Garden area,Cost of living,Garage,Barrier-free access,Loggia,Reconstruction year,Waste,Telecommunications,Annuity,Acquisition of title,Final building approval year,Road,Built-up area,Construction completion date,Note on the price,ID,Discounted,Original cost,Sales commencement date,Visit site date,Visit site date to,Basin area,Basin,Status,Ceiling height,Share size,Number of owners,Starting price,Expert judgement,Minimum Bid,Auction principal,Type of auction,Venue auction,Auction sale date,1st site visit date,2nd site visit date,Advertisement of auction,Number of flats,Share size of common area
"Hlučkova, Praha 9 - Letňany",For sale apartment 2+kt 48 m²,7700000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-letnany-hluckova/2482689356,7 700 000 CZK per property,N1021,Yesterday,Brick,New homes,Personal,Quiet part of municipality,1. floor of total 4 including 2 underground,48 m2,48 m2,,Immediately,Water supply,Central district heating,,230 V,"Road, Urban public transportation, Bus",Class G,,,Partially,,,41 m2,4 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zakšínská, Praha 9 - Střížkov",For sale apartment 3+kt 98 m²,11899000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-strizkov-zaksinska/4054574412,11 899 000 CZK per property (k jednání),N1013,Yesterday,Brick,New homes,Personal,Quiet part of municipality,6. floor of total 7 including 1 underground,98 m2,103 m2,,Immediately,Water supply,Central district heating,,,"Highway, Road, Urban public transportation, Bus",Class G,,,,,,,6 m2,,,,,,,,4 m2,,,"Internet, Cable TV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hlučkova, Praha 9 - Letňany",For sale apartment 2+kt 45 m²,7700000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-letnany-hluckova/2918896972,7 700 000 CZK per property,N1022,Yesterday,Brick,New homes,Personal,Quiet part of municipality,1. floor of total 4 including 2 underground,45 m2,45 m2,,Immediately,Water supply,Central district heating,,230 V,"Train, Road, Urban public transportation, Bus",Class G,,,Partially,,,42 m2,3 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Musílkova, Praha 5 - Košíře",For sale apartment 3+kt 106 m² (Attic),11490000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-kosire-musilkova/734487884,11 490 000 CZK per property (k jednání),N1062,Yesterday,Brick,In very good condition,Personal,Busy part of municipality,6. floor of total 6 including 1 underground,106 m2,100 m2,6 m2,Immediately,Water supply,Local gas,Gas pipeline,230 V,"Road, Urban public transportation, Bus",Class E Coll. 78/2013 complying with,Open Energy Performance Certificate,,Partially,,Attic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kováříkova, Praha 5 - Hlubočepy",For sale apartment 3+kt 71 m²,12990000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-hlubocepy-kovarikova/4141741388,12 990 000 CZK per property,N1005,Yesterday,Brick,In very good condition,Personal,Quiet part of municipality,1. floor of total 5 including 1 underground,71 m2,71 m2,,Immediately,,,,,,Class C Coll. 78/2013 complying with,,,Partially,,,,,,,,140 m2,,,,,,,,,,,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lounských, Praha 4 - Nusle",For sale apartment 4+kt 91 m²,12550000,https://www.sreality.cz/en/detail/sale/flat/4+kt/praha-nusle-lounskych/1948160588,12 550 000 CZK per property (k jednání),N1092,Yesterday,Brick,In very good condition,Personal,Quiet part of municipality,4. floor of total 4 including 1 underground,91 m2,91 m2,4 m2,Immediately,,"Local gas, Underfloor",,230 V,Urban public transportation,Class G,,,Partially,,,,12 m2,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Děčínská, Praha 8 - Střížkov",For sale apartment 1+kt 25 m²,3650000,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-strizkov-decinska/1769050700,3 650 000 CZK per property,N1093,Yesterday,Panel,In very good condition,Personal,Quiet part of municipality,15. floor of total 17,25 m2,25 m2,,Immediately,Water supply,Central district heating,,230 V,"Highway, Road, Urban public transportation, Bus",Class G,,,Partially,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miroslava Hajna, Praha 9 - Letňany",For sale apartment 4+kt 157 m²,14900000,https://www.sreality.cz/en/detail/sale/flat/4+kt/praha-letnany-miroslava-hajna/3982225996,14 900 000 CZK per property,N1104,Yesterday,Framed structure,In very good condition,Personal,Quiet part of municipality,11. floor of total 11,157 m2,116 m2,5 m2,31.10.2024,Water supply,Central district heating,Gas pipeline,230 V,"Road, Urban public transportation, Bus",Class G,,,Partially,,,41 m2,2 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kpt. Stránského, Praha 9 - Černý Most",For sale apartment 2+kt 46 m²,5330000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-cerny-most-kpt--stranskeho/385413708,5 330 000 CZK per property,13539,01.10.2024,Panel,In very good condition,Personal,,4. floor of total 12,46 m2,46 m2,,,Water supply,,,,,Class C Coll. 264/2020 complying with,,,,,,,3 m2,,,,,,,,,,Sewerage,,,,1990,,832 m2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Na Záhonech, Praha 4 - Michle",For sale apartment 1+kt 16 m²,3250000,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-michle-na-zahonech/1031123532,3 250 000 CZK per property,0114-NP09555,Yesterday,Brick,In very good condition,Personal,Municipality centre,4. floor of total 4 including 1 underground,16 m2,16 m2,,Immediately,,Local electric,,,"Urban public transportation, Bus",Class E Coll. 264/2020 complying with,Open Energy Performance Certificate,,,,,,2 m2,,309.0 kWh/m^2 /year,,80 m2,,,,,,Sewerage,,,,1945,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
