feature,importance,std
square_meters,0.07214189530630571,0.0018130136397156208
total_area,0.029409422268366674,0.0008444686554321237
district,0.020482837997658435,0.001148214922039718
ownership,0.009070834609269478,0.0018031441149734255
layout,0.007033607681528199,0.0009380806368008152
building,0.004839724831679518,0.0005029998121784293
floorage,0.004809038923070039,0.00042133609925135124
cadastral_area,0.004332353858707112,0.001185411657597309
usable_area,0.0037497680310009706,0.00046480658377342745
property_status,0.003198016447432397,0.0004536980088487775
property_location,0.002573618760180111,0.0006178175219082952
street,0.0020573373054415733,0.0005079207698287127
energy_performance_rating,0.0017619256756850811,0.0003855841893815747
floor_number,0.0014264224491229826,0.0004605458689167075
garden_area,0.0010362521997711407,0.00030850733360871023
total_floors,0.0008726811775838297,0.00024167801913576662
balcony,0.0006441054705747906,0.00021634979609309318
final_building_approval_year,0.0006257258388158313,9.564963534771955e-05
water,0.00048465536222646775,0.000278953787501787
floorage_NA,0.00036680924989119753,9.072499541638592e-05
garage,0.00035817310593431984,9.376645072896875e-05
heating,0.0003475041769615335,0.00023690695225893408
is_top_floor,0.00034183124699785664,0.00012161533423188104
parking,0.0003218842463577357,0.0001374512076237612
terrace,0.00030987004788090265,0.00025133559754004613
total_floors_NA,0.000307604843682514,0.00017747011057220492
cellar,0.0003015970261381701,9.698553219734852e-05
energy_performance_certificate,0.00027092035329019936,9.036978620375618e-05
waste,0.0002141466257923375,0.00012142589805366027
usable_area_NA,0.00021340376985552327,0.00014264032089409193
loggia,0.00016162402500979298,0.00014312520720329266
gas,9.05560871491809e-05,0.00014352167456407682
building_age,8.566557081301114e-05,8.717825636079075e-05
basin_area,0.0,0.0
is_ground_floor,-7.767650548829233e-06,2.2906368367985397e-05
final_building_approval_year_NA,-1.9110438306925783e-05,4.652481203562551e-05
floor_number_NA,-5.6942308352214006e-05,3.494226640146717e-05
furnished,-0.0002107055304917199,0.00015803331435707764
