feature,importance,std
square_meters,0.05726633963223493,0.0012975447454817636
total_area,0.0316378696335643,0.0009939216651057734
district,0.017803164316317364,0.0010265891351579081
ownership,0.010241711205710564,0.0018082503408734924
layout,0.007201243436291865,0.0009657013128786737
usable_area,0.00555455541706471,0.00044285228656563167
building,0.004758269289395177,0.00046663427653234136
cadastral_area,0.004510367649259882,0.0012241048197885248
floorage,0.0038299387589975837,0.0005395357332365892
property_status,0.0029019090633752133,0.00046274229362327054
property_location,0.002849732855014193,0.0007433476696225593
street,0.0019647050717639903,0.0004535765018665761
energy_performance_rating,0.0018777448937476189,0.000496598918255681
floor_number,0.00130732510527328,0.0004223653092217565
total_floors,0.0009255902918258758,0.00017730907947495646
garden_area,0.0009196504432211518,0.0002726268821374317
water,0.0005835198474700695,0.0002198469262409041
final_building_approval_year,0.0005181756621231964,0.00010651204558289828
balcony,0.00048047245191338363,0.0002029910259732221
total_floors_NA,0.0003764283249123396,0.00014877723106652722
waste,0.00035443795443720476,0.0001427969309975377
terrace,0.00035064832378401756,0.00019438507696044078
is_top_floor,0.0003147753159107033,0.00010718169776287058
usable_area_NA,0.00030145962357408203,0.00016358025477744418
cellar,0.0002913543439591323,0.00010433200367728797
floorage_NA,0.0002908766297227954,9.920738366562324e-05
garage,0.00028852387985092503,7.578622843860702e-05
heating,0.00026794804635897303,0.0002244289499002532
energy_performance_certificate,0.0002585282825218305,5.7131570831934055e-05
gas,0.00021453909279626967,0.0001280256001582339
parking,0.0002094912882882098,9.155157692984886e-05
building_age,0.0001612312207066355,7.275940505645863e-05
final_building_approval_year_NA,8.424064903939758e-05,6.143606136049522e-05
loggia,8.018030375570931e-05,8.662755320151111e-05
basin_area,0.0,0.0
is_ground_floor,-4.07736265712999e-05,3.2192153441241185e-05
floor_number_NA,-8.33481050100858e-05,3.5061388166967334e-05
furnished,-9.761018847839788e-05,0.00014121880521355865
